"","MODEL","CALCERR","LIBVER","FULLID","CALCVAL","INST","CODE"
"1",NA,7e-05,"LIB-3.0","HEU-COMP-INTER-003-001",0.9963162,"TEST3","CODE-4.0"
"2",NA,8e-05,"LIB-3.0","HEU-COMP-INTER-003-002",0.9957915,"TEST3","CODE-4.0"
"3",NA,8e-05,"LIB-3.0","HEU-COMP-INTER-003-003",0.9954648,"TEST3","CODE-4.0"
"4",NA,8e-05,"LIB-3.0","HEU-COMP-INTER-003-004",0.9939798,"TEST3","CODE-4.0"
"5",NA,8e-05,"LIB-3.0","HEU-COMP-INTER-003-005",0.9956826,"TEST3","CODE-4.0"
"6",NA,8e-05,"LIB-3.0","HEU-COMP-INTER-003-006",0.9861588,"TEST3","CODE-4.0"
"7",NA,8e-05,"LIB-3.0","HEU-COMP-INTER-003-007",0.9859113,"TEST3","CODE-4.0"
"8",NA,4e-05,"LIB-3.0","HEU-COMP-INTER-005-001",1.0302633,"TEST3","CODE-4.0"
"9",NA,4e-05,"LIB-3.0","HEU-COMP-INTER-005-002",1.0867428,"TEST3","CODE-4.0"
"10",NA,4e-05,"LIB-3.0","HEU-COMP-INTER-005-003",1.0405791,"TEST3","CODE-4.0"
"11",NA,4e-05,"LIB-3.0","HEU-COMP-INTER-005-004",1.1652102,"TEST3","CODE-4.0"
"12",NA,4e-05,"LIB-3.0","HEU-COMP-INTER-005-005",0.9236898,"TEST3","CODE-4.0"
"13","Godiva",6e-05,"LIB-3.0","HEU-MET-FAST-001-001",0.9897723,"TEST3","CODE-4.0"
"14",NA,6e-05,"LIB-3.0","HEU-MET-FAST-002-002",0.9922572,"TEST3","CODE-4.0"
"15",NA,6e-05,"LIB-3.0","HEU-MET-FAST-002-003",0.9903762,"TEST3","CODE-4.0"
"16",NA,7e-05,"LIB-3.0","HEU-MET-FAST-002-004",0.9895545,"TEST3","CODE-4.0"
"17",NA,7e-05,"LIB-3.0","HEU-MET-FAST-002-005",0.9898911,"TEST3","CODE-4.0"
"18",NA,7e-05,"LIB-3.0","HEU-MET-FAST-002-006",0.9912375,"TEST3","CODE-4.0"
"19",NA,6e-05,"LIB-3.0","HEU-MET-FAST-003-001",0.9850698,"TEST3","CODE-4.0"
"20",NA,6e-05,"LIB-3.0","HEU-MET-FAST-003-002",0.9845055,"TEST3","CODE-4.0"
"21",NA,6e-05,"LIB-3.0","HEU-MET-FAST-003-003",0.9889803,"TEST3","CODE-4.0"
"22",NA,7e-05,"LIB-3.0","HEU-MET-FAST-003-004",0.9872973,"TEST3","CODE-4.0"
"23",NA,6e-05,"LIB-3.0","HEU-MET-FAST-003-005",0.9914256,"TEST3","CODE-4.0"
"24",NA,7e-05,"LIB-3.0","HEU-MET-FAST-003-006",0.9915345,"TEST3","CODE-4.0"
"25",NA,7e-05,"LIB-3.0","HEU-MET-FAST-003-007",0.99198,"TEST3","CODE-4.0"
"26",NA,7e-05,"LIB-3.0","HEU-MET-FAST-003-008",0.9920889,"TEST3","CODE-4.0"
"27",NA,7e-05,"LIB-3.0","HEU-MET-FAST-003-009",0.9922077,"TEST3","CODE-4.0"
"28",NA,7e-05,"LIB-3.0","HEU-MET-FAST-003-010",0.9949995,"TEST3","CODE-4.0"
"29",NA,6e-05,"LIB-3.0","HEU-MET-FAST-003-011",0.9987219,"TEST3","CODE-4.0"
"30",NA,6e-05,"LIB-3.0","HEU-MET-FAST-003-012",0.9985338,"TEST3","CODE-4.0"
"31","3-D Idealization",8e-05,"LIB-3.0","HEU-MET-FAST-004-001",0.9929007,"TEST3","CODE-4.0"
"32",NA,6e-05,"LIB-3.0","HEU-MET-FAST-005-001",0.9852381,"TEST3","CODE-4.0"
"33",NA,7e-05,"LIB-3.0","HEU-MET-FAST-005-002",0.9880101,"TEST3","CODE-4.0"
"34",NA,7e-05,"LIB-3.0","HEU-MET-FAST-005-003",0.990495,"TEST3","CODE-4.0"
"35",NA,7e-05,"LIB-3.0","HEU-MET-FAST-005-004",0.9844263,"TEST3","CODE-4.0"
"36",NA,7e-05,"LIB-3.0","HEU-MET-FAST-005-005",0.9890199,"TEST3","CODE-4.0"
"37",NA,7e-05,"LIB-3.0","HEU-MET-FAST-005-006",0.9877131,"TEST3","CODE-4.0"
"38",NA,6e-05,"LIB-3.0","HEU-MET-FAST-007-001",0.9831195,"TEST3","CODE-4.0"
"39",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-002",0.9886833,"TEST3","CODE-4.0"
"40",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-003",0.9900594,"TEST3","CODE-4.0"
"41",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-004",0.9883071,"TEST3","CODE-4.0"
"42",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-005",0.9902376,"TEST3","CODE-4.0"
"43",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-006",0.995643,"TEST3","CODE-4.0"
"44",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-007",0.9915345,"TEST3","CODE-4.0"
"45",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-008",0.9894654,"TEST3","CODE-4.0"
"46",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-009",0.9933561,"TEST3","CODE-4.0"
"47",NA,8e-05,"LIB-3.0","HEU-MET-FAST-007-010",0.9892278,"TEST3","CODE-4.0"
"48",NA,6e-05,"LIB-3.0","HEU-MET-FAST-007-019",0.986832,"TEST3","CODE-4.0"
"49",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-020",0.9882576,"TEST3","CODE-4.0"
"50",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-021",0.9889803,"TEST3","CODE-4.0"
"51",NA,7e-05,"LIB-3.0","HEU-MET-FAST-007-022",0.9895248,"TEST3","CODE-4.0"
"52",NA,8e-05,"LIB-3.0","HEU-MET-FAST-007-023",0.989307,"TEST3","CODE-4.0"
"53",NA,8e-05,"LIB-3.0","HEU-MET-FAST-007-024",0.9896535,"TEST3","CODE-4.0"
"54",NA,8e-05,"LIB-3.0","HEU-MET-FAST-007-025",0.9885447,"TEST3","CODE-4.0"
"55",NA,8e-05,"LIB-3.0","HEU-MET-FAST-007-026",0.9887229,"TEST3","CODE-4.0"
"56",NA,8e-05,"LIB-3.0","HEU-MET-FAST-007-035",0.9922671,"TEST3","CODE-4.0"
"57",NA,6e-05,"LIB-3.0","HEU-MET-FAST-008-001",0.9858915,"TEST3","CODE-4.0"
"58",NA,6e-05,"LIB-3.0","HEU-MET-FAST-009-001",0.9875646,"TEST3","CODE-4.0"
"59",NA,6e-05,"LIB-3.0","HEU-MET-FAST-009-002",0.9867033,"TEST3","CODE-4.0"
"60",NA,7e-05,"LIB-3.0","HEU-MET-FAST-010-001",0.9885051,"TEST3","CODE-4.0"
"61",NA,6e-05,"LIB-3.0","HEU-MET-FAST-010-002",0.9878319,"TEST3","CODE-4.0"
"62",NA,7e-05,"LIB-3.0","HEU-MET-FAST-011-001",0.9889209,"TEST3","CODE-4.0"
"63",NA,6e-05,"LIB-3.0","HEU-MET-FAST-012-001",0.988218,"TEST3","CODE-4.0"
"64",NA,6e-05,"LIB-3.0","HEU-MET-FAST-013-001",0.9873666,"TEST3","CODE-4.0"
"65",NA,6e-05,"LIB-3.0","HEU-MET-FAST-014-001",0.9876339,"TEST3","CODE-4.0"
"66",NA,6e-05,"LIB-3.0","HEU-MET-FAST-015-001",0.9845649,"TEST3","CODE-4.0"
"67",NA,7e-05,"LIB-3.0","HEU-MET-FAST-016-001",0.9916137,"TEST3","CODE-4.0"
"68",NA,7e-05,"LIB-3.0","HEU-MET-FAST-016-002",0.9924354,"TEST3","CODE-4.0"
"69",NA,7e-05,"LIB-3.0","HEU-MET-FAST-017-001",0.9906039,"TEST3","CODE-4.0"
"70","Detailed Model",6e-05,"LIB-3.0","HEU-MET-FAST-018-001",0.9900297,"TEST3","CODE-4.0"
"71","Detailed Model",6e-05,"LIB-3.0","HEU-MET-FAST-019-001",0.9969102,"TEST3","CODE-4.0"
"72","Detailed Model",7e-05,"LIB-3.0","HEU-MET-FAST-020-001",0.9908316,"TEST3","CODE-4.0"
"73","Detailed Model",6e-05,"LIB-3.0","HEU-MET-FAST-021-001",0.987327,"TEST3","CODE-4.0"
"74","Detailed Model",6e-05,"LIB-3.0","HEU-MET-FAST-022-001",0.9876141,"TEST3","CODE-4.0"
"75",NA,7e-05,"LIB-3.0","HEU-MET-FAST-024-001",0.9884061,"TEST3","CODE-4.0"
"76",NA,6e-05,"LIB-3.0","HEU-MET-FAST-025-001",0.988911,"TEST3","CODE-4.0"
"77",NA,6e-05,"LIB-3.0","HEU-MET-FAST-025-002",0.9911385,"TEST3","CODE-4.0"
"78",NA,6e-05,"LIB-3.0","HEU-MET-FAST-025-003",0.9938115,"TEST3","CODE-4.0"
"79",NA,6e-05,"LIB-3.0","HEU-MET-FAST-025-004",0.9952965,"TEST3","CODE-4.0"
"80",NA,6e-05,"LIB-3.0","HEU-MET-FAST-025-005",0.995346,"TEST3","CODE-4.0"
"81",NA,6e-05,"LIB-3.0","HEU-MET-FAST-027-001",0.9908613,"TEST3","CODE-4.0"
"82",NA,6e-05,"LIB-3.0","HEU-MET-FAST-028-001",0.992673,"TEST3","CODE-4.0"
"83",NA,6e-05,"LIB-3.0","HEU-MET-FAST-029-001",0.9956826,"TEST3","CODE-4.0"
"84",NA,7e-05,"LIB-3.0","HEU-MET-FAST-030-001",0.9920592,"TEST3","CODE-4.0"
"85",NA,8e-05,"LIB-3.0","HEU-MET-FAST-031-001",0.9947421,"TEST3","CODE-4.0"
"86",NA,6e-05,"LIB-3.0","HEU-MET-FAST-032-001",0.9941778,"TEST3","CODE-4.0"
"87",NA,6e-05,"LIB-3.0","HEU-MET-FAST-032-002",0.9945738,"TEST3","CODE-4.0"
"88",NA,6e-05,"LIB-3.0","HEU-MET-FAST-032-003",0.9901089,"TEST3","CODE-4.0"
"89",NA,6e-05,"LIB-3.0","HEU-MET-FAST-032-004",0.9908217,"TEST3","CODE-4.0"
"90",NA,8e-05,"LIB-3.0","HEU-MET-FAST-034-001",0.9871587,"TEST3","CODE-4.0"
"91",NA,8e-05,"LIB-3.0","HEU-MET-FAST-034-002",0.9886734,"TEST3","CODE-4.0"
"92",NA,8e-05,"LIB-3.0","HEU-MET-FAST-034-003",0.9873864,"TEST3","CODE-4.0"
"93",NA,7e-05,"LIB-3.0","HEU-MET-FAST-038-001",0.9932274,"TEST3","CODE-4.0"
"94",NA,7e-05,"LIB-3.0","HEU-MET-FAST-038-002",0.9919404,"TEST3","CODE-4.0"
"95",NA,6e-05,"LIB-3.0","HEU-MET-FAST-040-001",0.9944847,"TEST3","CODE-4.0"
"96",NA,7e-05,"LIB-3.0","HEU-MET-FAST-041-001",0.996831,"TEST3","CODE-4.0"
"97",NA,7e-05,"LIB-3.0","HEU-MET-FAST-041-002",0.9951381,"TEST3","CODE-4.0"
"98",NA,6e-05,"LIB-3.0","HEU-MET-FAST-041-003",0.9923562,"TEST3","CODE-4.0"
"99",NA,7e-05,"LIB-3.0","HEU-MET-FAST-041-004",0.9970785,"TEST3","CODE-4.0"
"100",NA,7e-05,"LIB-3.0","HEU-MET-FAST-041-005",0.9929403,"TEST3","CODE-4.0"
"101",NA,7e-05,"LIB-3.0","HEU-MET-FAST-041-006",0.9942273,"TEST3","CODE-4.0"
"102",NA,6e-05,"LIB-3.0","HEU-MET-FAST-043-001",0.9890496,"TEST3","CODE-4.0"
"103",NA,6e-05,"LIB-3.0","HEU-MET-FAST-043-002",0.9881982,"TEST3","CODE-4.0"
"104",NA,6e-05,"LIB-3.0","HEU-MET-FAST-043-003",0.9886932,"TEST3","CODE-4.0"
